date,state,cases_new,cases_import,cases_recovered,cases_active,cases_cluster
7/6/2020,Malaysia,19,6,39,1532,0
8/6/2020,Malaysia,7,2,20,1519,2
9/6/2020,Malaysia,7,6,281,1245,0
10/6/2020,Malaysia,2,1,39,1207,0
11/6/2020,Malaysia,31,11,51,1186,1
12/6/2020,Malaysia,33,16,103,1114,0
13/6/2020,Malaysia,43,5,143,1014,1
14/6/2020,Malaysia,8,2,35,987,1
15/6/2020,Malaysia,41,3,54,974,5
16/6/2020,Malaysia,11,1,333,652,4
17/6/2020,Malaysia,10,0,140,522,6
18/6/2020,Malaysia,14,3,127,409,2
19/6/2020,Malaysia,6,2,70,345,1
20/6/2020,Malaysia,21,2,76,290,9
21/6/2020,Malaysia,16,3,10,296,2
22/6/2020,Malaysia,15,2,21,290,0
23/6/2020,Malaysia,3,0,9,284,2
24/6/2020,Malaysia,6,2,45,245,2
25/6/2020,Malaysia,4,3,40,209,0
26/6/2020,Malaysia,6,5,23,192,0
27/6/2020,Malaysia,10,4,14,188,0
28/6/2020,Malaysia,18,4,10,196,0
29/6/2020,Malaysia,3,1,16,183,0
30/6/2020,Malaysia,2,1,20,165,0
1/7/2020,Malaysia,1,1,21,145,0
2/7/2020,Malaysia,3,1,62,86,1
3/7/2020,Malaysia,5,3,9,82,0
4/7/2020,Malaysia,10,7,15,77,0
5/7/2020,Malaysia,5,3,4,78,0
6/7/2020,Malaysia,5,3,11,72,1
7/7/2020,Malaysia,6,4,5,73,0
8/7/2020,Malaysia,3,3,5,71,0
9/7/2020,Malaysia,6,6,13,64,0
10/7/2020,Malaysia,13,8,12,64,0
11/7/2020,Malaysia,8,4,4,68,0
12/7/2020,Malaysia,14,3,4,78,0
13/7/2020,Malaysia,7,6,1,84,1
14/7/2020,Malaysia,4,4,4,84,0
15/7/2020,Malaysia,5,1,2,87,2
16/7/2020,Malaysia,3,1,12,78,2
17/7/2020,Malaysia,18,10,3,92,8
18/7/2020,Malaysia,9,4,5,96,0
19/7/2020,Malaysia,15,4,7,104,5
20/7/2020,Malaysia,21,6,2,123,13
21/7/2020,Malaysia,15,4,7,131,0
22/7/2020,Malaysia,16,8,4,143,0
23/7/2020,Malaysia,9,3,8,144,0
24/7/2020,Malaysia,21,5,3,162,2
25/7/2020,Malaysia,23,6,17,168,2
26/7/2020,Malaysia,13,3,6,174,0
27/7/2020,Malaysia,7,4,1,180,0
28/7/2020,Malaysia,39,11,6,213,1
29/7/2020,Malaysia,13,8,5,220,0
30/7/2020,Malaysia,8,3,5,223,0
31/7/2020,Malaysia,12,5,27,208,0
1/8/2020,Malaysia,9,7,3,214,0
2/8/2020,Malaysia,14,1,17,211,0
3/8/2020,Malaysia,2,0,4,209,0
4/8/2020,Malaysia,1,0,16,194,0
5/8/2020,Malaysia,21,15,18,197,0
6/8/2020,Malaysia,15,5,11,201,0
7/8/2020,Malaysia,25,9,15,211,1
8/8/2020,Malaysia,7,6,47,171,0
9/8/2020,Malaysia,13,9,9,175,1
10/8/2020,Malaysia,11,5,19,167,0
11/8/2020,Malaysia,9,5,6,170,0
12/8/2020,Malaysia,11,8,8,173,2
13/8/2020,Malaysia,15,4,4,184,9
14/8/2020,Malaysia,20,7,7,197,13
15/8/2020,Malaysia,26,3,3,220,16
16/8/2020,Malaysia,25,16,28,217,6
17/8/2020,Malaysia,12,2,17,212,9
18/8/2020,Malaysia,7,4,26,193,3
19/8/2020,Malaysia,16,4,23,186,11
20/8/2020,Malaysia,5,5,7,184,0
21/8/2020,Malaysia,9,4,13,180,3
22/8/2020,Malaysia,8,3,4,184,5
23/8/2020,Malaysia,10,8,10,184,2
24/8/2020,Malaysia,7,2,6,185,0
25/8/2020,Malaysia,11,2,6,190,6
26/8/2020,Malaysia,6,1,7,189,5
27/8/2020,Malaysia,5,2,16,178,0
28/8/2020,Malaysia,10,8,36,152,2
29/8/2020,Malaysia,11,10,8,154,0
30/8/2020,Malaysia,17,15,10,160,1
31/8/2020,Malaysia,6,4,6,160,2
1/9/2020,Malaysia,14,5,21,152,9
2/9/2020,Malaysia,6,4,4,154,1
3/9/2020,Malaysia,14,4,4,164,8
4/9/2020,Malaysia,11,7,9,166,3
5/9/2020,Malaysia,6,4,21,151,1
6/9/2020,Malaysia,6,3,2,155,2
7/9/2020,Malaysia,62,6,9,208,54
8/9/2020,Malaysia,100,15,12,296,85
9/9/2020,Malaysia,24,6,7,313,17
10/9/2020,Malaysia,45,1,24,334,43
11/9/2020,Malaysia,182,1,14,502,181
12/9/2020,Malaysia,58,5,8,552,53
13/9/2020,Malaysia,47,2,7,592,24
14/9/2020,Malaysia,31,3,7,615,19
15/9/2020,Malaysia,23,10,6,632,13
16/9/2020,Malaysia,62,1,26,668,51
17/9/2020,Malaysia,21,5,15,674,9
18/9/2020,Malaysia,95,4,14,754,87
19/9/2020,Malaysia,20,3,51,722,10
20/9/2020,Malaysia,52,12,40,734,33
21/9/2020,Malaysia,57,6,40,751,39
22/9/2020,Malaysia,82,10,168,664,67
23/9/2020,Malaysia,147,4,39,771,130
24/9/2020,Malaysia,72,2,64,779,63
25/9/2020,Malaysia,110,4,30,859,95
26/9/2020,Malaysia,82,3,89,851,64
27/9/2020,Malaysia,150,4,50,950,124
28/9/2020,Malaysia,115,3,54,1010,96
29/9/2020,Malaysia,101,4,50,1061,66
30/9/2020,Malaysia,89,3,28,1122,41
1/10/2020,Malaysia,260,1,47,1335,212
2/10/2020,Malaysia,287,0,81,1539,205
3/10/2020,Malaysia,317,0,121,1734,185
4/10/2020,Malaysia,293,1,67,1958,179
5/10/2020,Malaysia,432,3,57,2330,325
6/10/2020,Malaysia,691,3,87,2933,487
7/10/2020,Malaysia,489,2,74,3345,230
8/10/2020,Malaysia,375,4,18,3697,128
9/10/2020,Malaysia,354,2,188,3859,167
10/10/2020,Malaysia,374,2,73,4157,157
11/10/2020,Malaysia,561,8,133,4582,152
12/10/2020,Malaysia,563,1,109,5033,293
13/10/2020,Malaysia,660,2,350,5339,284
14/10/2020,Malaysia,660,6,233,5762,297
15/10/2020,Malaysia,589,3,409,5940,297
16/10/2020,Malaysia,629,2,245,6318,196
17/10/2020,Malaysia,869,0,302,6879,449
18/10/2020,Malaysia,871,5,701,7047,298
19/10/2020,Malaysia,865,7,455,7450,378
20/10/2020,Malaysia,862,2,634,7674,419
21/10/2020,Malaysia,732,8,580,7819,219
22/10/2020,Malaysia,847,5,486,8169,408
23/10/2020,Malaysia,710,1,467,8403,356
24/10/2020,Malaysia,1228,11,671,8957,789
25/10/2020,Malaysia,823,0,579,9195,404
26/10/2020,Malaysia,1240,2,691,9742,752
27/10/2020,Malaysia,835,5,674,9901,404
28/10/2020,Malaysia,801,2,573,10119,284
29/10/2020,Malaysia,649,7,685,10079,275
30/10/2020,Malaysia,799,0,491,10384,392
31/10/2020,Malaysia,659,1,1000,10038,281
1/11/2020,Malaysia,957,0,972,10020,396
2/11/2020,Malaysia,834,3,900,9952,299
3/11/2020,Malaysia,1054,14,875,10129,589
4/11/2020,Malaysia,1032,3,820,10340,414
5/11/2020,Malaysia,1009,9,839,10504,424
6/11/2020,Malaysia,1755,3,726,11531,1148
7/11/2020,Malaysia,1168,0,1029,11667,679
8/11/2020,Malaysia,852,13,825,11690,345
9/11/2020,Malaysia,972,5,1345,11309,573
10/11/2020,Malaysia,869,1,725,11447,471
11/11/2020,Malaysia,822,7,769,11498,503
12/11/2020,Malaysia,919,3,996,11420,582
13/11/2020,Malaysia,1304,4,900,11823,838
14/11/2020,Malaysia,1114,2,803,12132,754
15/11/2020,Malaysia,1208,6,1013,12324,835
16/11/2020,Malaysia,1103,1,821,12602,795
17/11/2020,Malaysia,1210,19,1018,12789,926
18/11/2020,Malaysia,660,4,630,12815,456
19/11/2020,Malaysia,1290,5,878,13223,977
20/11/2020,Malaysia,958,5,956,13222,573
21/11/2020,Malaysia,1041,2,1405,12855,671
22/11/2020,Malaysia,1096,6,1104,12844,767
23/11/2020,Malaysia,1884,2,883,13843,1572
24/11/2020,Malaysia,2188,0,1673,14354,1896
25/11/2020,Malaysia,970,5,2348,12972,685
26/11/2020,Malaysia,935,4,2555,11349,536
27/11/2020,Malaysia,1109,10,1148,11308,662
28/11/2020,Malaysia,1315,5,1110,11509,974
29/11/2020,Malaysia,1309,1,1333,11482,953
30/11/2020,Malaysia,1212,9,2112,10579,749
1/12/2020,Malaysia,1472,5,1552,10497,1153
2/12/2020,Malaysia,851,4,658,10688,444
3/12/2020,Malaysia,1075,3,948,10804,648
4/12/2020,Malaysia,1141,3,1144,10801,666
5/12/2020,Malaysia,1123,5,1143,10777,638
6/12/2020,Malaysia,1335,3,1069,11040,870
7/12/2020,Malaysia,1600,3,1033,11605,1038
8/12/2020,Malaysia,1012,7,1750,10863,444
9/12/2020,Malaysia,959,6,1068,10749,535
10/12/2020,Malaysia,2234,5,1112,11868,1790
11/12/2020,Malaysia,1810,11,937,12735,1361
12/12/2020,Malaysia,1937,2,911,13752,1461
13/12/2020,Malaysia,1229,2,1309,13668,746
14/12/2020,Malaysia,1371,1,1204,13831,870
15/12/2020,Malaysia,1772,12,1084,14516,1039
16/12/2020,Malaysia,1295,10,1052,14752,776
17/12/2020,Malaysia,1220,6,1297,14672,628
18/12/2020,Malaysia,1683,8,1214,15141,893
19/12/2020,Malaysia,1153,2,998,15295,651
20/12/2020,Malaysia,1340,3,1067,15564,791
21/12/2020,Malaysia,2018,7,1084,16497,1436
22/12/2020,Malaysia,2062,4,911,17647,1444
23/12/2020,Malaysia,1348,16,710,18280,764
24/12/2020,Malaysia,1581,2,1085,18774,847
25/12/2020,Malaysia,1247,2,1441,18577,547
26/12/2020,Malaysia,2335,11,874,20036,1567
27/12/2020,Malaysia,1196,5,997,20234,508
28/12/2020,Malaysia,1594,3,1181,20644,743
29/12/2020,Malaysia,1925,10,1123,21444,1098
30/12/2020,Malaysia,1870,2,745,22563,920
31/12/2020,Malaysia,2525,13,1481,23599,1505
1/1/2021,Malaysia,2068,2,2230,23434,944
2/1/2021,Malaysia,2295,9,3321,22399,1091
3/1/2021,Malaysia,1704,5,2726,21366,588
4/1/2021,Malaysia,1741,8,1010,22090,618
5/1/2021,Malaysia,2027,16,1221,22885,776
6/1/2021,Malaysia,2593,4,1129,24348,1603
7/1/2021,Malaysia,3027,6,2145,25222,1532
8/1/2021,Malaysia,2643,2,2708,25141,1162
9/1/2021,Malaysia,2451,5,1401,26186,977
10/1/2021,Malaysia,2433,7,1277,27333,751
11/1/2021,Malaysia,2232,5,1006,28555,788
12/1/2021,Malaysia,3309,6,1469,30391,1460
13/1/2021,Malaysia,2985,2,994,32378,1076
14/1/2021,Malaysia,3337,7,1710,33990,1365
15/1/2021,Malaysia,3211,5,1939,35254,1300
16/1/2021,Malaysia,4029,8,2148,37127,1425
17/1/2021,Malaysia,3339,15,2676,37783,1326
18/1/2021,Malaysia,3306,7,2293,38792,1195
19/1/2021,Malaysia,3631,7,2944,39465,1088
20/1/2021,Malaysia,4008,5,2374,41088,1432
21/1/2021,Malaysia,3170,8,2490,41756,720
22/1/2021,Malaysia,3631,6,2554,42815,933
23/1/2021,Malaysia,4275,11,4313,42770,1015
24/1/2021,Malaysia,3346,7,4427,41678,1086
25/1/2021,Malaysia,3048,8,3638,41077,757
26/1/2021,Malaysia,3585,2,4076,40575,742
27/1/2021,Malaysia,3680,6,1858,42390,1425
28/1/2021,Malaysia,4094,8,3281,43193,823
29/1/2021,Malaysia,5725,7,3423,45479,1790
30/1/2021,Malaysia,5728,5,3805,47389,1741
31/1/2021,Malaysia,5298,3,4522,48151,1678
1/2/2021,Malaysia,4214,9,4280,48075,1267
2/2/2021,Malaysia,3455,5,3661,47848,1345
3/2/2021,Malaysia,4284,6,3804,48310,1792
4/2/2021,Malaysia,4571,3,4092,48772,1793
5/2/2021,Malaysia,3391,4,3392,48752,1108
6/2/2021,Malaysia,3847,4,1692,50895,1486
7/2/2021,Malaysia,3731,8,3369,51242,1604
8/2/2021,Malaysia,3100,1,2340,51978,1547
9/2/2021,Malaysia,2764,6,3887,50842,935
10/2/2021,Malaysia,3288,5,1929,52187,1500
11/2/2021,Malaysia,3384,15,3774,51796,1631
12/2/2021,Malaysia,3318,7,3505,51591,1716
13/2/2021,Malaysia,3499,1,3515,51569,1611
14/2/2021,Malaysia,2464,3,4525,49500,857
15/2/2021,Malaysia,2176,1,4521,47144,689
16/2/2021,Malaysia,2720,0,5718,44137,1581
17/2/2021,Malaysia,2998,7,5709,41403,1589
18/2/2021,Malaysia,2712,4,5320,38794,1303
19/2/2021,Malaysia,2936,9,4889,36802,1435
20/2/2021,Malaysia,2461,0,4782,34472,1173
21/2/2021,Malaysia,3297,6,4456,33307,2082
22/2/2021,Malaysia,2192,3,3414,32078,1084
23/2/2021,Malaysia,2468,4,4055,30471,1113
24/2/2021,Malaysia,3545,1,3331,30673,2483
25/2/2021,Malaysia,1924,6,3752,28832,705
26/2/2021,Malaysia,2253,7,3085,27990,1136
27/2/2021,Malaysia,2364,1,3320,27024,1100
28/2/2021,Malaysia,2437,1,3251,26201,1404
1/3/2021,Malaysia,1828,7,2486,25538,962
2/3/2021,Malaysia,1555,3,2528,24559,604
3/3/2021,Malaysia,1745,2,2276,24021,867
4/3/2021,Malaysia,2063,9,2922,23157,897
5/3/2021,Malaysia,2154,5,3275,22030,1021
6/3/2021,Malaysia,1680,3,2548,21155,650
7/3/2021,Malaysia,1683,10,2506,20329,649
8/3/2021,Malaysia,1529,9,2076,19774,361
9/3/2021,Malaysia,1280,2,2345,18700,530
10/3/2021,Malaysia,1448,10,2137,18006,765
11/3/2021,Malaysia,1647,5,2104,17540,664
12/3/2021,Malaysia,1575,7,2042,17070,444
13/3/2021,Malaysia,1470,12,1830,16707,518
14/3/2021,Malaysia,1354,14,1782,16275,431
15/3/2021,Malaysia,1208,9,1973,15507,430
16/3/2021,Malaysia,1063,4,1365,15200,426
17/3/2021,Malaysia,1219,7,1346,15071,607
18/3/2021,Malaysia,1213,6,1503,14778,488
19/3/2021,Malaysia,1576,11,1996,14356,944
20/3/2021,Malaysia,1671,2,1585,14438,744
21/3/2021,Malaysia,1327,11,1247,14514,632
22/3/2021,Malaysia,1116,8,1495,14130,597
23/3/2021,Malaysia,1384,9,1058,14455,762
24/3/2021,Malaysia,1268,5,1083,14638,614
25/3/2021,Malaysia,1360,1,1491,14505,591
26/3/2021,Malaysia,1275,32,1509,14270,509
27/3/2021,Malaysia,1199,5,1257,14210,494
28/3/2021,Malaysia,1302,9,1127,14381,650
29/3/2021,Malaysia,941,8,1097,14220,345
30/3/2021,Malaysia,1133,8,1148,14201,550
31/3/2021,Malaysia,1482,2,1070,14605,849
1/4/2021,Malaysia,1178,20,1377,14400,462
2/4/2021,Malaysia,1294,26,1442,14247,551
3/4/2021,Malaysia,1638,7,1449,14433,898
4/4/2021,Malaysia,1349,7,1270,14510,654
5/4/2021,Malaysia,1070,9,1294,14279,367
6/4/2021,Malaysia,1300,24,1412,14162,563
7/4/2021,Malaysia,1139,13,1199,14098,450
8/4/2021,Malaysia,1285,17,1175,14204,438
9/4/2021,Malaysia,1854,20,1247,14806,681
10/4/2021,Malaysia,1510,5,1248,15060,466
11/4/2021,Malaysia,1739,8,1216,15575,742
12/4/2021,Malaysia,1317,12,1052,15836,456
13/4/2021,Malaysia,1767,9,1290,16301,668
14/4/2021,Malaysia,1889,6,1485,16697,689
15/4/2021,Malaysia,2148,19,1259,17576,896
16/4/2021,Malaysia,2551,29,1524,18601,990
17/4/2021,Malaysia,2331,12,1832,19095,659
18/4/2021,Malaysia,2195,10,1427,19855,791
19/4/2021,Malaysia,2078,13,1402,20523,628
20/4/2021,Malaysia,2341,7,1592,21269,598
21/4/2021,Malaysia,2340,12,1910,21688,759
22/4/2021,Malaysia,2875,29,2541,22015,983
23/4/2021,Malaysia,2847,4,2341,22513,751
24/4/2021,Malaysia,2717,27,2292,22927,671
25/4/2021,Malaysia,2690,10,1853,23754,846
26/4/2021,Malaysia,2776,4,1803,24714,806
27/4/2021,Malaysia,2733,5,2019,25415,721
28/4/2021,Malaysia,3142,13,1822,26720,677
29/4/2021,Malaysia,3332,9,1943,28094,690
30/4/2021,Malaysia,3788,2,2640,29228,1069
1/5/2021,Malaysia,2881,16,2462,29632,873
2/5/2021,Malaysia,3418,10,2698,30340,1084
3/5/2021,Malaysia,2500,4,2068,30754,737
4/5/2021,Malaysia,3120,6,2334,31517,839
5/5/2021,Malaysia,3744,7,2304,32940,743
6/5/2021,Malaysia,3551,16,2709,33763,924
7/5/2021,Malaysia,4498,5,3449,34790,1132
8/5/2021,Malaysia,4519,5,2719,36565,993
9/5/2021,Malaysia,3733,6,3211,37061,856
10/5/2021,Malaysia,3807,5,3454,37397,782
11/5/2021,Malaysia,3973,5,2848,38500,1001
12/5/2021,Malaysia,4765,7,3124,40102,1004
13/5/2021,Malaysia,4855,3,3347,41583,1062
14/5/2021,Malaysia,4113,1,4190,41472,994
15/5/2021,Malaysia,4140,9,3432,42136,999
16/5/2021,Malaysia,3780,2,3990,41890,914
17/5/2021,Malaysia,4446,3,2784,43507,852
18/5/2021,Malaysia,4865,5,3497,44828,867
19/5/2021,Malaysia,6075,3,3516,47341,1547
20/5/2021,Malaysia,6806,2,3916,50172,1594
21/5/2021,Malaysia,6493,2,4508,52107,1243
22/5/2021,Malaysia,6320,3,4694,53683,1318
23/5/2021,Malaysia,6976,9,3587,57023,1586
24/5/2021,Malaysia,6509,26,3452,60019,1481
25/5/2021,Malaysia,7289,4,3789,63459,1388
26/5/2021,Malaysia,7478,5,4665,66209,1288
27/5/2021,Malaysia,7857,9,4598,69409,1495
28/5/2021,Malaysia,8290,2,4814,72824,1842
29/5/2021,Malaysia,9020,6,5527,76219,1704
30/5/2021,Malaysia,6999,4,5121,78018,1366
31/5/2021,Malaysia,6824,3,5251,79524,1331
1/6/2021,Malaysia,7105,2,6083,80475,1362
2/6/2021,Malaysia,7703,2,5777,82275,1434
3/6/2021,Malaysia,8209,64,7049,83332,1820
4/6/2021,Malaysia,7748,2,6624,84370,1708
5/6/2021,Malaysia,7452,8,6105,85608,1727
6/6/2021,Malaysia,6241,14,5133,86629,1290
7/6/2021,Malaysia,5271,14,7548,84270,1113
8/6/2021,Malaysia,5566,4,6962,82798,1522
9/6/2021,Malaysia,6239,11,7386,81576,1397
10/6/2021,Malaysia,5671,8,7325,79849,1453
11/6/2021,Malaysia,6849,4,7749,78865,2429
12/6/2021,Malaysia,5793,6,8334,76248,1517
13/6/2021,Malaysia,5304,5,8163,73325,1622
14/6/2021,Malaysia,4949,6,6588,71626,1458
15/6/2021,Malaysia,5419,6,6831,70113,1591
16/6/2021,Malaysia,5150,3,7240,67950,1141
17/6/2021,Malaysia,5738,3,7530,66098,1692
18/6/2021,Malaysia,6440,5,6861,65603,2338
19/6/2021,Malaysia,5911,1,6918,64524,2192
20/6/2021,Malaysia,5293,7,5941,63816,1835
21/6/2021,Malaysia,4611,8,5439,62919,1783
22/6/2021,Malaysia,4743,2,5557,62028,1469
23/6/2021,Malaysia,5244,7,6372,60817,1704
24/6/2021,Malaysia,5841,8,5411,61163,1881
25/6/2021,Malaysia,5812,32,6775,60118,2146
